Timestamp,Bid_Open,Bid_High,Bid_Low,Bid_Close,Bid_Volume,Ask_Open,Ask_High,Ask_Low,Ask_Close,Ask_Volume,Class
2011-12-31T23:00:00,1.04176,1.04214,1.04176,1.04214,0.0,1.04309,1.04309,1.04266,1.04266,0.0,True
2012-01-01T23:00:00,1.04268,1.04412,1.03925,1.04238,29135.6913,1.04414,1.0454,1.04079,1.04351,28017.1871,True
2012-01-02T23:00:00,1.04238,1.04932,1.04206,1.04848,126851.0303,1.04349,1.04966,1.04226,1.04878,124783.1609,True
2012-01-03T23:00:00,1.04842,1.05021,1.04467,1.04975,142118.79,1.04878,1.05072,1.04492,1.05053,145481.771,False
2012-01-04T23:00:00,1.04987,1.05021,1.04309,1.04637,169798.5297,1.05048,1.05053,1.04337,1.04688,168153.93,True
2012-01-05T23:00:00,1.04632,1.05193,1.04202,1.05144,140378.1498,1.04683,1.05247,1.04233,1.05232,141446.0203,False
2012-01-08T23:00:00,1.04848,1.05208,1.04569,1.04781,141135.6086,1.04956,1.05234,1.04608,1.04827,142608.1576,False
2012-01-09T23:00:00,1.04783,1.05248,1.04703,1.04707,153603.1199,1.04827,1.05275,1.04762,1.04763,153754.3712,True
2012-01-10T23:00:00,1.04707,1.05127,1.04437,1.05101,123244.1722,1.04748,1.05153,1.04463,1.05144,118026.9933,True
2012-01-11T23:00:00,1.05106,1.05337,1.04823,1.05278,104199.821,1.05149,1.05358,1.04846,1.05328,106434.3399,True
2012-01-12T23:00:00,1.05272,1.05665,1.04977,1.05616,112919.4998,1.05328,1.05726,1.05001,1.05717,112212.6006,False
2012-01-15T23:00:00,1.05393,1.05513,1.0485,1.04959,94661.4369,1.05483,1.05579,1.0488,1.05018,93707.1651,True
2012-01-16T23:00:00,1.04954,1.05705,1.04853,1.05312,133351.0303,1.05018,1.05716,1.04917,1.05363,130948.2787,True
2012-01-17T23:00:00,1.0529,1.05566,1.05234,1.05507,143197.0104,1.0538,1.05593,1.05253,1.05558,145549.5022,False
2012-01-18T23:00:00,1.0551,1.05512,1.04867,1.05296,128626.6347,1.05558,1.05558,1.04886,1.05342,127677.1551,True
2012-01-19T23:00:00,1.05296,1.06262,1.05286,1.06196,123170.7509,1.05353,1.06303,1.05327,1.06294,123067.9109,False
2012-01-22T23:00:00,1.06236,1.0658,1.06073,1.06089,99876.8861,1.06359,1.06656,1.06112,1.06197,101906.4168,False
2012-01-23T23:00:00,1.06091,1.06201,1.05645,1.05857,111926.7781,1.06198,1.06296,1.05667,1.05908,109226.2911,True
2012-01-24T23:00:00,1.05857,1.06536,1.05603,1.06418,138063.9761,1.05905,1.06556,1.05703,1.06462,135044.4854,True
2012-01-25T23:00:00,1.06416,1.06881,1.06207,1.06496,117076.6863,1.06474,1.06904,1.06229,1.06542,117757.6712,True
